,Unnamed: 0,name,gender,age,zipCode,format,yearsOfExperience,phone,warehouse,style,skillRating,email,password,onlineStatus,matchStatus
0,0,carmenanderson,female,28,95035,sm,5,7344408208,1,aggressive,1927.007709554819,carmenanderson@sjsu.edu,xzt2h72Oz,True,False
1,1,timothymoody,male,32,95051,s,1,5797734355,3,defensive,2081.482676684944,timothymoody@sjsu.edu,bnoza1pku8jTDUI,False,False
2,2,jamesharris,male,25,95008,d,3,4410426420,2,aggressive,1350.977890985305,jamesharris@sjsu.edu,mF6iiVgC6qs90,False,False
3,3,shelleyfoster,female,11,94568,m,0,1424528484,3,aggressive,1726.952115732011,shelleyfoster@sjsu.edu,VPtQI7ge,False,False
4,4,eugenecullars,male,27,95035,sd,6,3960724209,0,aggressive,1930.1832366305523,eugenecullars@sjsu.edu,X9eNDsyeY7,True,True
5,5,maryjones,female,30,94539,sdm,3,956747491,3,neutral,1078.9335609920504,maryjones@sjsu.edu,8ogoEokjTHAC,True,False
6,6,kellystrode,female,23,94539,sd,5,7581138252,5,defensive,1079.480606010511,kellystrode@sjsu.edu,9TLul1BfWi8,False,False
7,7,rustyrichardson,male,31,94568,sm,4,9821278931,5,defensive,1016.4015547630172,rustyrichardson@sjsu.edu,G1JBOeCOMstu1U7,False,False
8,8,bessiecarter,female,19,94568,d,5,5503534395,5,defensive,1568.7316641399009,bessiecarter@sjsu.edu,MI4MoTcIjIAReTg,True,True
9,9,alanwright,male,40,95008,dm,10,3014605756,0,defensive,1476.8249025879002,alanwright@sjsu.edu,xWrrKVshlGiYp,False,False
10,10,josephgreen,male,32,94568,sm,3,7623757464,4,aggressive,1385.4516859950756,josephgreen@sjsu.edu,iv4duvdR7T,False,False
11,11,cheryldunham,female,22,95035,sdm,4,9301887867,0,neutral,1136.0757300178454,cheryldunham@sjsu.edu,3jlsrooLXkKNolt,False,False
12,12,joeymorris,male,24,94568,sdm,6,6259048706,0,neutral,917.4545670947844,joeymorris@sjsu.edu,cFXce11un3Wy1B,True,True
13,13,tracyramirez,male,24,95008,m,6,3699489796,1,neutral,1713.2489217546236,tracyramirez@sjsu.edu,iHVNavmRsuxD,False,False
14,14,josefriedlander,male,17,95035,d,2,9887043397,0,aggressive,1495.1699628358413,josefriedlander@sjsu.edu,Q8nbAKsipV9Ts5x,False,False
15,15,albertmcallister,male,27,95051,s,2,3340894643,3,defensive,1553.2757745741767,albertmcallister@sjsu.edu,tO4K2aCbP,True,False
16,16,edwardhernandez,male,30,95035,d,1,8329912360,5,aggressive,1139.9008709555806,edwardhernandez@sjsu.edu,tudgtdOSs,False,False
17,17,helenbishop,female,39,95035,d,12,3628105927,4,defensive,1349.2178318995773,helenbishop@sjsu.edu,2mepeiuIf,False,False
18,18,kirkclement,male,29,94538,dm,0,1269181105,2,neutral,1716.7540502524987,kirkclement@sjsu.edu,NuQY7JFPv,True,False
19,19,danielnash,male,34,95008,s,1,1255644041,0,neutral,1378.815220270395,danielnash@sjsu.edu,gEAPr0ik2,False,False
20,20,brandontorres,male,32,95051,s,1,6924686213,1,aggressive,1127.5601707265014,brandontorres@sjsu.edu,Gas86oFlNlKz42U,True,True
21,21,georginaviars,female,29,94568,d,8,1282399524,5,defensive,1081.7904796853836,georginaviars@sjsu.edu,LLWWYChPp0UwVVq,False,False
22,22,charlottepayne,female,22,94539,dm,2,2177291460,0,defensive,1531.953093658313,charlottepayne@sjsu.edu,YQZj288VSbx1jZ,False,False
23,23,richardkelley,male,29,94539,sd,7,9701807330,6,neutral,1267.7903983257534,richardkelley@sjsu.edu,SuzsLEZgv,False,False
24,24,warrensteffens,male,25,95035,d,4,298736849,5,defensive,1817.2766967638768,warrensteffens@sjsu.edu,XF3SOvzU4klAG2,True,False
25,25,joycekhalil,female,28,95051,d,8,9167629787,2,defensive,1759.5208888176412,joycekhalil@sjsu.edu,bjxx0HB0R,True,False
26,26,keithpowell,male,17,94568,sd,2,1506816254,3,defensive,1597.5739008175256,keithpowell@sjsu.edu,qYrBB7ebv,False,False
27,27,teresasilva,female,42,95035,sdm,2,3467852124,5,aggressive,1450.2541638265611,teresasilva@sjsu.edu,AN9nLotz8aQLRtx,True,True
28,28,michaelkiefer,male,30,95008,sm,4,3637077357,3,defensive,1171.1353671994823,michaelkiefer@sjsu.edu,4vGDE5qjtA,True,True
29,29,markoliver,male,23,94568,s,5,6349041203,1,aggressive,1685.94194469661,markoliver@sjsu.edu,bNStFYyfAUncTJ,True,True
30,30,deborahtarver,female,28,95035,d,5,9330695350,2,neutral,1425.500357687909,deborahtarver@sjsu.edu,sKX6zRTM95,True,False
31,31,lorenbueter,male,32,95035,sm,1,4588131621,4,aggressive,1994.4248078265575,lorenbueter@sjsu.edu,piOBCex95,False,False
32,32,mariapierce,female,24,95035,sm,1,8460073309,2,neutral,1565.7053248442503,mariapierce@sjsu.edu,hqVn9Thj5i4vePF,True,True
33,33,juliesandiford,female,27,95035,m,2,4802348086,2,aggressive,1588.9721121303105,juliesandiford@sjsu.edu,4rvc5lRxXhD2jxtI,False,False
34,34,herlindagraziani,female,33,94539,m,4,8511205784,1,defensive,1844.270651190268,herlindagraziani@sjsu.edu,ceKTUhUI,True,True
35,35,jamesswisher,male,25,94539,m,2,5439061355,3,defensive,1734.7162575883592,jamesswisher@sjsu.edu,B6WZ9sBFNm,True,False
36,36,gregorychristianson,male,22,94539,dm,5,6891512352,0,aggressive,1158.7956500964224,gregorychristianson@sjsu.edu,n9oOKkb1cmDFU1LZ,False,False
37,37,paulwilson,male,25,94568,d,5,1602935280,3,neutral,1607.277809296197,paulwilson@sjsu.edu,BpKkO0aLXBB,True,True
38,38,royortiz,male,35,95035,d,1,9515914361,5,defensive,1132.8512417318843,royortiz@sjsu.edu,35DWx7tHxHjTqy4F,True,True
39,39,johnnysee,male,15,94538,sm,1,5129620459,3,aggressive,1724.368290004032,johnnysee@sjsu.edu,A2ghcCK7,False,False
40,40,brandibjork,female,30,95051,s,1,6354798024,3,defensive,889.7723132591123,brandibjork@sjsu.edu,HeOdu9rVSvtrOk,False,False
41,41,jamesmerrick,male,23,95035,m,0,3597569924,2,neutral,1161.8869957851523,jamesmerrick@sjsu.edu,iliNjBxchSz,False,False
42,42,tomasdalton,male,31,95035,sm,8,1052192299,1,neutral,1882.656537290481,tomasdalton@sjsu.edu,osvoIoh9,True,True
43,43,emilycarlson,female,27,94568,s,6,9123939665,4,neutral,1542.8228069138188,emilycarlson@sjsu.edu,MGXvHUUm72B6S,False,False
44,44,richardmccloud,male,38,94568,d,1,2848996622,0,neutral,1403.8805954091793,richardmccloud@sjsu.edu,GSIFmEMxj,True,False
45,45,martyvogel,female,34,94539,m,6,4759672288,2,neutral,1299.827489310345,martyvogel@sjsu.edu,RFaewRZ5LD,False,False
46,46,samgrant,male,35,95035,sdm,4,5527478315,2,defensive,1728.0388870761071,samgrant@sjsu.edu,3Cfjc6Qz7eu,False,False
47,47,oliviaschroeder,female,32,94538,sd,8,7733137893,2,neutral,1749.2679118488466,oliviaschroeder@sjsu.edu,7bOx609TV5X,False,False
48,48,patriciajohnson,female,29,95035,sdm,6,7475658181,1,aggressive,1110.240619128634,patriciajohnson@sjsu.edu,VuVBWEBIhL8xxs4y,False,False
49,49,marydorsette,female,36,95008,m,10,8380229725,1,aggressive,1493.7360006330211,marydorsette@sjsu.edu,GHxcUnj8Q,True,True
50,50,carlosspeakman,male,25,94539,m,4,6856904955,3,defensive,1627.0355731651032,carlosspeakman@sjsu.edu,IsU1gcLz7oOYw,True,False
51,51,davidwillard,male,20,95035,d,1,2397736293,6,aggressive,1892.8656438037788,davidwillard@sjsu.edu,QcceGqMI,False,False
52,52,annettebrashier,female,24,94538,sd,3,4717239571,4,neutral,1337.3562587756714,annettebrashier@sjsu.edu,5RLuuWnPVC,True,False
53,53,jorgesegura,male,35,95008,d,7,3849009453,1,neutral,1634.4523608220943,jorgesegura@sjsu.edu,MspFcJEdT,True,True
54,54,brendalafosse,female,30,94538,sd,5,9714300703,1,neutral,1011.386918562839,brendalafosse@sjsu.edu,Ilnh9ZA0u2,True,False
55,55,williambecerra,male,26,95051,sdm,7,6065561654,1,neutral,1241.878731084136,williambecerra@sjsu.edu,YnGq5llf0uAT,True,True
56,56,morrishartranft,male,35,95008,sd,10,2657253,3,aggressive,1808.4747922731435,morrishartranft@sjsu.edu,5hR8eAGu7SX,False,False
57,57,samcavitt,male,30,94539,s,4,3157625183,6,aggressive,1868.8519174240655,samcavitt@sjsu.edu,INZTPUpVB,True,False
58,58,davidwhite,male,33,95035,d,9,993176387,6,aggressive,1337.2551615715197,davidwhite@sjsu.edu,PpIp0O3ENw9Dq,True,False
59,59,richardwarf,male,25,95008,s,0,1289195965,4,neutral,1119.012441473806,richardwarf@sjsu.edu,LoCA4VCpjBn2Noq7,False,False
60,60,davidwood,male,37,95035,s,0,6063360150,5,defensive,1392.3397096067592,davidwood@sjsu.edu,ImQ4Z9Dby,False,False
61,61,michellebunch,female,30,95008,sdm,3,8244691305,0,neutral,2187.2902278746765,michellebunch@sjsu.edu,21boTI2i7cpJY6xM,True,False
62,62,nevamartin,female,27,95008,s,4,4719535841,3,neutral,1417.650261877356,nevamartin@sjsu.edu,mI49lRUkMEeDnPqS,True,True
63,63,joanhassan,female,33,95035,s,0,1354339980,5,defensive,1942.348317122092,joanhassan@sjsu.edu,FgxwDUUGGUL4,False,False
64,64,corialverson,female,35,95051,sd,0,2436024347,4,defensive,1063.333469369873,corialverson@sjsu.edu,4pkjlDv1eTUcjdln,False,False
65,65,dorothymoore,female,32,94568,sm,7,8896121256,4,neutral,1977.0195813240257,dorothymoore@sjsu.edu,EcAmiYrW6c9P,False,False
66,66,davidmoser,male,24,95035,dm,5,5140100390,5,defensive,1628.8428789921004,davidmoser@sjsu.edu,1IeKsqW1,True,True
67,67,brucefreed,male,29,95035,dm,3,2376574215,6,defensive,1645.4940187152497,brucefreed@sjsu.edu,WjDSBxWmn8oTyCE4,False,False
68,68,joewolfgang,male,27,95035,m,6,944229276,5,aggressive,1866.495303096921,joewolfgang@sjsu.edu,kGhn8nWzEirbYZ,False,False
69,69,johnflanagan,male,35,95035,dm,10,6324019575,5,neutral,1545.9368534436196,johnflanagan@sjsu.edu,8hB0A9sbYYPH3ueV,False,False
70,70,maritzaquintana,female,21,95051,sd,6,8107404501,3,aggressive,1851.022031355302,maritzaquintana@sjsu.edu,JETU8ZhpMbwXMvG,False,False
71,71,juliaabrams,female,25,95008,d,4,7390708630,1,aggressive,1098.9586038045468,juliaabrams@sjsu.edu,4HXgrtyTZ,False,False
72,72,yongarza,female,43,94568,sm,7,6968623119,4,aggressive,1727.2525259132087,yongarza@sjsu.edu,ldZCLB6TXVNny,False,False
73,73,georgeschuster,male,25,94538,sdm,3,6174148211,5,defensive,1253.1605212719496,georgeschuster@sjsu.edu,NLnGBamxl,False,False
74,74,christophersliva,male,31,94538,sd,0,1131063583,5,defensive,796.8428265480051,christophersliva@sjsu.edu,70yHnLshI,False,False
75,75,burmatrytten,female,35,94539,s,1,2921128139,3,aggressive,1411.439947801336,burmatrytten@sjsu.edu,8JFzWx103vzB,True,True
76,76,xavierdavis,male,33,95035,sd,3,2938876489,3,defensive,1057.6201077471617,xavierdavis@sjsu.edu,GKheVmhMLGFD,False,False
77,77,charlotteheath,female,23,95008,d,6,8382641018,3,neutral,1454.2871137429318,charlotteheath@sjsu.edu,k3dJ7TSlPIKsyo,False,False
78,78,petergoodman,male,32,95035,sm,4,9775195254,2,defensive,1229.8287765816654,petergoodman@sjsu.edu,ALunCXNXfHcEiqx,True,True
79,79,sarahdennis,female,22,94538,sm,6,3251106278,1,defensive,1671.8930534845445,sarahdennis@sjsu.edu,ncek75lHeJ,False,False
80,80,peterclark,male,31,95035,d,7,7171112564,4,neutral,1176.5078714722572,peterclark@sjsu.edu,OzJa7JXUThQiJ,True,True
81,81,akikothomas,female,34,94568,m,8,4351018309,3,defensive,1301.6072186552087,akikothomas@sjsu.edu,J2iR4CW3jl3sBS,False,False
82,82,sheilamcintyre,female,27,94568,dm,1,3726680450,3,neutral,1930.1080101609573,sheilamcintyre@sjsu.edu,2eW1HpHCyee,False,False
83,83,debrahillman,female,32,94539,sdm,1,7901276176,3,neutral,1639.7464771196285,debrahillman@sjsu.edu,DJDZw7h5x,True,False
84,84,patriciathompson,female,15,94539,d,3,5842606437,2,neutral,1501.636408585218,patriciathompson@sjsu.edu,XwuahWPThdMKHBo5,True,False
85,85,jamesporterfield,male,33,94568,d,9,579298825,3,aggressive,2191.148031840976,jamesporterfield@sjsu.edu,mhWuvd2A5JjQ5Eft,True,False
86,86,davidkean,male,32,94568,dm,6,5285076866,3,aggressive,1569.8784464273558,davidkean@sjsu.edu,LzngXLgX6PgNXfC3,False,False
87,87,halnoakes,male,37,95008,sm,5,9855613197,5,neutral,1702.8581139834994,halnoakes@sjsu.edu,BsxPPQ2Wb0,False,False
88,88,morrisappello,male,31,95035,d,6,7257049470,3,aggressive,1588.4037320750472,morrisappello@sjsu.edu,E1oeOf5BXNOG,False,False
89,89,michaelbrooks,male,24,94539,sd,0,404784743,5,aggressive,1872.0982177260348,michaelbrooks@sjsu.edu,m1A3m7px,True,True
90,90,jacoblee,male,49,94539,s,11,2815395070,0,aggressive,1961.6259629065344,jacoblee@sjsu.edu,W3elhkqPy,True,False
91,91,jeffreycarter,male,27,94539,sm,2,4724966708,1,aggressive,953.2972623525978,jeffreycarter@sjsu.edu,cIrV9zIfF3BI,False,False
92,92,clarencegambrill,male,29,95035,sdm,2,2276608780,0,defensive,1665.0454004720596,clarencegambrill@sjsu.edu,MA9M6xrrFU,False,False
93,93,margretburger,female,29,94568,s,3,1714401444,2,defensive,1785.8093113285645,margretburger@sjsu.edu,spavZhatEDihY,False,False
94,94,lisaburns,female,28,94568,m,6,725821508,2,neutral,1795.5671200942938,lisaburns@sjsu.edu,JeHZqIzLZOa,True,True
95,95,jeanrobinson,female,37,95051,sm,5,7300034599,1,defensive,1747.6724063587558,jeanrobinson@sjsu.edu,dFiheuwyVLJt,True,True
96,96,amyham,female,24,94538,d,4,3750765688,1,neutral,1594.971898303725,amyham@sjsu.edu,Ij3zPBovn0xgbSrB,True,False
97,97,felipechestnut,male,36,94539,d,9,7796004565,2,neutral,1501.108461811829,felipechestnut@sjsu.edu,ieoKwQQpgoQO,True,False
98,98,katherineswanson,female,28,95035,sd,7,6925122916,4,neutral,1826.797419375045,katherineswanson@sjsu.edu,I1kMTQrNspuo,False,False
99,99,yolandawiser,female,36,95035,sdm,2,4368284961,0,neutral,1547.1574895156346,yolandawiser@sjsu.edu,ZJfG4jl0gd,False,False
100,100,elbabridges,female,37,94538,sdm,4,8863849720,0,aggressive,1496.569003839078,elbabridges@sjsu.edu,arpgzNtf,True,True
101,101,brittanythao,female,29,95008,sm,4,6148045330,5,neutral,1218.052754614839,brittanythao@sjsu.edu,A8yiBaEr,True,True
102,102,judithandrus,female,25,95035,s,4,7452914093,2,defensive,1293.6859173405892,judithandrus@sjsu.edu,7PUNyTqZz1J,True,True
103,103,bradenriquez,male,19,94539,dm,1,6842986506,2,aggressive,1463.736528366088,bradenriquez@sjsu.edu,kKtLQPDv,False,False
104,104,sydneyshaw,male,37,95035,d,5,8309310280,6,defensive,1347.8997594611496,sydneyshaw@sjsu.edu,JB4u1jirBtVeQ5V,True,True
105,105,jasonhorne,male,21,94539,d,0,1923851904,6,defensive,1869.2246549896347,jasonhorne@sjsu.edu,OsXmKiCO2,True,False
106,106,francineohaver,female,31,95051,sd,1,3201619118,4,aggressive,1472.9948135043107,francineohaver@sjsu.edu,EOx6f7fre,True,True
107,107,karmawilkerson,female,41,95035,sdm,9,9539087248,2,neutral,1749.6598254740888,karmawilkerson@sjsu.edu,12RleX5NqQI,True,True
108,108,raysims,male,41,94539,m,12,9529955961,1,neutral,1370.4670399897211,raysims@sjsu.edu,tZOKqwd1uFN3Sh0,True,False
109,109,floraanderson,female,23,94568,s,0,4822443128,0,defensive,1825.087105507881,floraanderson@sjsu.edu,m5Dp2jMlo,True,False
110,110,rubiencallado,female,22,94568,sdm,2,3584938664,3,neutral,1366.7071671528042,rubiencallado@sjsu.edu,Xnma7plFSl,False,False
111,111,thomasnelson,male,36,95008,dm,8,3319363064,3,aggressive,1626.6831481326255,thomasnelson@sjsu.edu,NCbMkcrIAc,True,False
112,112,conniearroyo,female,25,94568,d,3,3742253755,2,aggressive,1247.9908519973617,conniearroyo@sjsu.edu,tTngvW0mUS,False,False
113,113,annhayes,female,34,94538,s,10,3874142415,1,neutral,1231.9105729225475,annhayes@sjsu.edu,JdYBpHlLtDRgn,False,False
114,114,grantarteaga,male,11,94539,m,0,139005296,6,aggressive,1866.9038138523583,grantarteaga@sjsu.edu,KjxPID87O87mUzMH,True,False
115,115,elizabethhunt,female,26,95035,m,5,4379588051,3,aggressive,1677.123841983638,elizabethhunt@sjsu.edu,YVLVjcFGnEQTli,True,True
116,116,arcelialalk,female,20,94539,sdm,0,110630933,0,neutral,995.2456565513664,arcelialalk@sjsu.edu,hVloF47uTBml,True,True
117,117,joanroush,female,24,95035,s,5,2894575345,3,aggressive,1530.1129835968748,joanroush@sjsu.edu,JSphDqxyKWzPP,False,False
118,118,carlamccracken,female,18,95051,s,5,3721819485,0,neutral,1355.824484137259,carlamccracken@sjsu.edu,MeeX9WRFKxdv,True,False
119,119,oliverhavard,male,18,94568,s,5,5956212852,4,aggressive,1363.2261433188935,oliverhavard@sjsu.edu,RniGJ7Fsg,False,False
120,120,christariggan,female,30,95035,sd,0,1987556441,1,defensive,1428.2702521866108,christariggan@sjsu.edu,yI73DYxS6yk37,True,True
121,121,amandaenglish,female,39,95035,sdm,5,9738058636,0,neutral,1541.465967775259,amandaenglish@sjsu.edu,ryXecqmK,False,False
122,122,jessecastillo,male,34,94568,sm,7,7600494475,0,defensive,1635.8238258899376,jessecastillo@sjsu.edu,j25qwp6T,False,False
123,123,dorishall,female,24,95008,sm,0,4703627907,1,defensive,1267.2098984009008,dorishall@sjsu.edu,Gl9BZzuTkAitu,True,False
124,124,dessieosborne,female,32,94538,dm,1,8149844475,1,neutral,1685.3577433039738,dessieosborne@sjsu.edu,38UsY0YpDXS,False,False
125,125,andyramirez,male,20,94568,s,3,98499987,2,aggressive,1882.5707984538788,andyramirez@sjsu.edu,fXBItsqwmcEPN,False,False
126,126,brittanymclaughlin,female,31,94568,sm,4,7218759914,5,neutral,1816.122464537412,brittanymclaughlin@sjsu.edu,LjCraGO8,True,True
127,127,williampowell,male,36,94539,dm,1,6360300391,6,defensive,1253.863271794743,williampowell@sjsu.edu,aiVrxzIgkP7b0W8R,False,False
128,128,marymanriquez,female,26,95051,m,3,2629683636,5,defensive,1652.6208568898307,marymanriquez@sjsu.edu,h6DQNv3LSRq,True,True
129,129,cathyvaughn,female,31,95051,sdm,6,8435525186,4,aggressive,1598.298473718551,cathyvaughn@sjsu.edu,5QEyqBqOx,False,False
130,130,stevenmyers,male,28,95008,sdm,2,2973111642,1,neutral,1021.365592781807,stevenmyers@sjsu.edu,9fNgaizR85hXeyX,False,False
131,131,anaavilla,female,25,95035,d,1,2690721676,1,neutral,1313.7869963169314,anaavilla@sjsu.edu,z5US5AlaHiY66R,False,False
132,132,adamestes,male,15,94538,sm,3,6785269497,6,defensive,1579.0253188924792,adamestes@sjsu.edu,m7Vfw7NpjaX,False,False
133,133,leonardcaldwell,male,28,94539,s,2,907031136,2,aggressive,1397.7484241137224,leonardcaldwell@sjsu.edu,yoGDIDa583,False,False
134,134,buddyreeder,male,26,94538,m,1,8211921086,0,neutral,1545.2214495288322,buddyreeder@sjsu.edu,Vx7ang3mYG,True,True
135,135,nigelsmith,male,44,95008,d,9,506963969,1,neutral,1269.9444693423598,nigelsmith@sjsu.edu,ETBTsy0uBIsJ,True,False
136,136,roslynstrauser,female,35,95035,m,6,4689417514,5,aggressive,1677.578034192445,roslynstrauser@sjsu.edu,GRxMcZd9WbSpP,True,False
137,137,rolandtaylor,male,32,94539,d,1,1473758810,1,defensive,1475.7833272237365,rolandtaylor@sjsu.edu,aZiXQX58PtJcqoUW,False,False
138,138,richardbatchelder,male,36,94538,sdm,7,3570908175,0,aggressive,1674.3004264494784,richardbatchelder@sjsu.edu,Zx3c210e77lw,False,False
139,139,carmenmoody,female,28,94538,sm,2,9896081532,4,defensive,1951.141303349632,carmenmoody@sjsu.edu,GRev3YnqGr,False,False
140,140,timothycastano,male,17,94538,sdm,0,5596767167,6,aggressive,1106.3584260529512,timothycastano@sjsu.edu,FDa7pVHm,False,False
141,141,nicolebaldwin,female,38,94568,sm,5,1354380338,2,neutral,1037.5818928312633,nicolebaldwin@sjsu.edu,4zG5hJ3Vtj,False,False
142,142,julierojas,female,40,95051,sdm,3,2917869428,1,neutral,1661.6232440396273,julierojas@sjsu.edu,Owrn3A64nvHJGrno,True,True
143,143,ericfann,male,34,95035,sd,10,4868528334,2,aggressive,1423.0944535742292,ericfann@sjsu.edu,wneU2UZNEV7,False,False
144,144,juannegron,male,32,95035,d,6,1027447219,5,aggressive,902.1443770729128,juannegron@sjsu.edu,1rhGP3QE5jcb,True,False
145,145,robertamuckle,female,26,95035,sm,2,4441172291,2,neutral,1577.783300357455,robertamuckle@sjsu.edu,iaPiAFfctp2Bf7Ni,False,False
146,146,daviddavid,male,37,95035,dm,7,2392154932,1,defensive,1997.1933329156652,daviddavid@sjsu.edu,jOKD8KBy84,False,False
147,147,rogerhamby,male,22,95035,sm,5,3596581718,5,defensive,1430.1957561731265,rogerhamby@sjsu.edu,RiRNmMJKH,False,False
